ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
CP	ceruloplasmin(CP)	Homo sapiens	GO:0006811~ion transport,GO:0006825~copper ion transport,GO:0006826~iron ion transport,GO:0006879~cellular iron ion homeostasis,GO:0055072~iron ion homeostasis,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005765~lysosomal membrane,GO:0005788~endoplasmic reticulum lumen,GO:0005886~plasma membrane,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,	GO:0004322~ferroxidase activity,GO:0005507~copper ion binding,GO:0016491~oxidoreductase activity,GO:0051087~chaperone binding,	IPR001117:Multicopper oxidase, type 1,IPR002355:Multicopper oxidase, copper-binding site,IPR008972:Cupredoxin,IPR011706:Multicopper oxidase, type 2,IPR011707:Multicopper oxidase, type 3,	hsa00860:Porphyrin metabolism,hsa04216:Ferroptosis,	604290~Cerebellar ataxia,604290~Hemosiderosis, systemic, due to aceruloplasminemia,604290~Hypoceruloplasminemia, hereditary,			KW-0187~Copper transport,KW-0406~Ion transport,KW-0813~Transport,	KW-0964~Secreted,		KW-0677~Repeat,KW-0732~Signal,	KW-0186~Copper,KW-0479~Metal-binding,	KW-0560~Oxidoreductase,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	BINDING:type 1 copper site,BINDING:type 2 copper site,BINDING:type 3 copper site,CARBOHYD:N-linked (GlcNAc...) (complex) asparagine,CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:F5/8 type A 1,DOMAIN:F5/8 type A 2,DOMAIN:F5/8 type A 3,DOMAIN:Plastocyanin-like,DOMAIN:Plastocyanin-like 1,DOMAIN:Plastocyanin-like 2,DOMAIN:Plastocyanin-like 3,DOMAIN:Plastocyanin-like 4,DOMAIN:Plastocyanin-like 5,DOMAIN:Plastocyanin-like 6,
CHI3L1	chitinase 3 like 1(CHI3L1)	Homo sapiens	GO:0005975~carbohydrate metabolic process,GO:0006032~chitin catabolic process,GO:0006915~apoptotic process,GO:0006954~inflammatory response,GO:0007250~activation of NF-kappaB-inducing kinase activity,GO:0009612~response to mechanical stimulus,GO:0010800~positive regulation of peptidyl-threonine phosphorylation,GO:0030324~lung development,GO:0032757~positive regulation of interleukin-8 production,GO:0034612~response to tumor necrosis factor,GO:0045766~positive regulation of angiogenesis,GO:0051216~cartilage development,GO:0051897~positive regulation of protein kinase B signaling,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070555~response to interleukin-1,GO:0070741~response to interleukin-6,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0031012~extracellular matrix,GO:0035580~specific granule lumen,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,	GO:0005201~extracellular matrix structural constituent,GO:0005515~protein binding,GO:0008061~chitin binding,GO:0030246~carbohydrate binding,	IPR001223:Glycoside hydrolase, family 18, catalytic domain,IPR011583:Chitinase II,IPR017853:Glycoside hydrolase, superfamily,		181500~Schizophrenia, susceptibility to,611960~Asthma-related traits, susceptibility to, 7,		SM00636:Glyco_18,	KW-0053~Apoptosis,KW-0395~Inflammatory response,	KW-0256~Endoplasmic reticulum,KW-0963~Cytoplasm,KW-0964~Secreted,	KW-1058~Asthma,KW-1211~Schizophrenia,	KW-0732~Signal,	KW-0430~Lectin,	KW-0929~Antimicrobial,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:GH18,REGION:Important for AKT1 activation and IL8 production,
CHI3L2	chitinase 3 like 2(CHI3L2)	Homo sapiens	GO:0005975~carbohydrate metabolic process,GO:0006032~chitin catabolic process,	GO:0005576~extracellular region,GO:0005615~extracellular space,	GO:0008061~chitin binding,GO:0016787~hydrolase activity,GO:0030246~carbohydrate binding,	IPR000677:2S globulin,IPR001223:Glycoside hydrolase, family 18, catalytic domain,IPR011583:Chitinase II,IPR017853:Glycoside hydrolase, superfamily,				SM00636:Glyco_18,		KW-0964~Secreted,		KW-0732~Signal,	KW-0147~Chitin-binding,KW-0430~Lectin,	KW-0378~Hydrolase,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:GH18,MUTAGEN:I->E: Confers chitinase activity; when associated with D-143.,MUTAGEN:S->D: Confers chitinase activity; when associated with E-145.,
CLIC1	chloride intracellular channel 1(CLIC1)	Homo sapiens	GO:0006749~glutathione metabolic process,GO:0006821~chloride transport,GO:0007165~signal transduction,GO:0034765~regulation of ion transmembrane transport,GO:0045669~positive regulation of osteoblast differentiation,GO:0051726~regulation of cell cycle,GO:0051881~regulation of mitochondrial membrane potential,GO:0070527~platelet aggregation,GO:1902476~chloride transmembrane transport,	GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005635~nuclear envelope,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005886~plasma membrane,GO:0005903~brush border,GO:0016020~membrane,GO:0031965~nuclear membrane,GO:0031982~vesicle,GO:0034707~chloride channel complex,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,	GO:0005244~voltage-gated ion channel activity,GO:0005254~chloride channel activity,GO:0005515~protein binding,GO:0045296~cadherin binding,	IPR002946:Intracellular chloride channel,IPR004045:Glutathione S-transferase, N-terminal,IPR010987:Glutathione S-transferase, C-terminal-like,					KW-0406~Ion transport,KW-0813~Transport,	KW-0472~Membrane,KW-0539~Nucleus,KW-0963~Cytoplasm,KW-1003~Cell membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0868~Chloride,	KW-0407~Ion channel,KW-0851~Voltage-gated channel,KW-0869~Chloride channel,	KW-0007~Acetylation,KW-0318~Glutathionylation,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	DISULFID:Alternate,DOMAIN:GST C-terminal,MUTAGEN:C->S: Loss of dimerization and of ion transport activity.,REGION:Required for insertion into the membrane,TRANSMEM:Helical; Note=After insertion into the membrane,
CCKBR	cholecystokinin B receptor(CCKBR)	Homo sapiens	GO:0001696~gastric acid secretion,GO:0007166~cell surface receptor signaling pathway,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0008284~positive regulation of cell proliferation,GO:0038188~cholecystokinin signaling pathway,GO:0043551~regulation of phosphatidylinositol 3-kinase activity,GO:0045851~pH reduction,GO:0048565~digestive tract development,GO:0048732~gland development,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0004930~G-protein coupled receptor activity,GO:0004951~cholecystokinin receptor activity,GO:0005515~protein binding,GO:0015054~gastrin receptor activity,GO:0017046~peptide hormone binding,GO:0031741~type B gastrin/cholecystokinin receptor binding,GO:0046935~1-phosphatidylinositol-3-kinase regulator activity,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR000314:Gastrin receptor,IPR009126:Cholecystokinin receptor,IPR017452:GPCR, rhodopsin-like, 7TM,	hsa04020:Calcium signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04971:Gastric acid secretion,					KW-0472~Membrane,KW-1003~Cell membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,	KW-0325~Glycoprotein,KW-0449~Lipoprotein,KW-0564~Palmitate,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:G_PROTEIN_RECEP_F1_2,LIPID:S-palmitoyl cysteine,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
CHAT	choline O-acetyltransferase(CHAT)	Homo sapiens	GO:0006656~phosphatidylcholine biosynthetic process,GO:0006836~neurotransmitter transport,GO:0007274~neuromuscular synaptic transmission,GO:0008292~acetylcholine biosynthetic process,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0043005~neuron projection,GO:0045202~synapse,	GO:0004102~choline O-acetyltransferase activity,GO:0016746~transferase activity, transferring acyl groups,	IPR000542:Acyltransferase ChoActase/COT/CPT,IPR023213:Chloramphenicol acetyltransferase-like domain,	hsa00564:Glycerophospholipid metabolism,hsa04725:Cholinergic synapse,	254210~Myasthenic syndrome, congenital, 6, presynaptic,			KW-0530~Neurotransmitter biosynthesis,		KW-0225~Disease variant,KW-1004~Congenital myasthenic syndrome,			KW-0012~Acyltransferase,KW-0808~Transferase,	KW-0597~Phosphoprotein,	ACT_SITE:Proton acceptor,COMPBIAS:Basic and acidic residues,COMPBIAS:Pro residues,DOMAIN:Carn_acyltransf,REGION:Disordered,
CHRM1	cholinergic receptor muscarinic 1(CHRM1)	Homo sapiens	GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007197~adenylate cyclase-inhibiting G-protein coupled acetylcholine receptor signaling pathway,GO:0007205~protein kinase C-activating G-protein coupled receptor signaling pathway,GO:0007207~phospholipase C-activating G-protein coupled acetylcholine receptor signaling pathway,GO:0007213~G-protein coupled acetylcholine receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0007274~neuromuscular synaptic transmission,GO:0007399~nervous system development,GO:0040012~regulation of locomotion,GO:0043270~positive regulation of ion transport,GO:0046541~saliva secretion,GO:0050890~cognition,GO:0060078~regulation of postsynaptic membrane potential,GO:0060251~regulation of glial cell proliferation,GO:0090316~positive regulation of intracellular protein transport,GO:0098664~G-protein coupled serotonin receptor signaling pathway,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0030425~dendrite,GO:0042734~presynaptic membrane,GO:0043679~axon terminus,GO:0045202~synapse,GO:0045211~postsynaptic membrane,GO:0098685~Schaffer collateral - CA1 synapse,GO:0098839~postsynaptic density membrane,GO:0098978~glutamatergic synapse,GO:0098981~cholinergic synapse,GO:0099056~integral component of presynaptic membrane,GO:0099061~integral component of postsynaptic density membrane,	GO:0004435~phosphatidylinositol phospholipase C activity,GO:0004993~G-protein coupled serotonin receptor activity,GO:0005515~protein binding,GO:0016907~G-protein coupled acetylcholine receptor activity,GO:0030594~neurotransmitter receptor activity,GO:0099529~neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR000995:Muscarinic acetylcholine receptor family,IPR002228:Muscarinic acetylcholine receptor M1,IPR017452:GPCR, rhodopsin-like, 7TM,	hsa04020:Calcium signaling pathway,hsa04024:cAMP signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04151:PI3K-Akt signaling pathway,hsa04725:Cholinergic synapse,hsa04810:Regulation of actin cytoskeleton,hsa05010:Alzheimer disease,hsa05022:Pathways of neurodegeneration - multiple diseases,					KW-0472~Membrane,KW-0628~Postsynaptic cell membrane,KW-0770~Synapse,KW-1003~Cell membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DOMAIN:G_PROTEIN_RECEP_F1_2,REGION:Disordered,SITE:Binds to snake venom muscarinic toxin 7,SITE:Subtype-specific residue that binds to snake venom muscarinic toxin 7,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
CHRM4	cholinergic receptor muscarinic 4(CHRM4)	Homo sapiens	GO:0007165~signal transduction,GO:0007166~cell surface receptor signaling pathway,GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007197~adenylate cyclase-inhibiting G-protein coupled acetylcholine receptor signaling pathway,GO:0007213~G-protein coupled acetylcholine receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0040012~regulation of locomotion,GO:0098664~G-protein coupled serotonin receptor signaling pathway,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0030425~dendrite,GO:0045202~synapse,GO:0045211~postsynaptic membrane,	GO:0004993~G-protein coupled serotonin receptor activity,GO:0016907~G-protein coupled acetylcholine receptor activity,GO:0030594~neurotransmitter receptor activity,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR000995:Muscarinic acetylcholine receptor family,IPR001432:Muscarinic acetylcholine receptor M4,IPR017452:GPCR, rhodopsin-like, 7TM,	hsa04080:Neuroactive ligand-receptor interaction,hsa04725:Cholinergic synapse,hsa04810:Regulation of actin cytoskeleton,			SM01381:SM01381,		KW-0472~Membrane,KW-0628~Postsynaptic cell membrane,KW-0770~Synapse,KW-1003~Cell membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DOMAIN:G_PROTEIN_RECEP_F1_2,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
CHRNA1	cholinergic receptor nicotinic alpha 1 subunit(CHRNA1)	Homo sapiens	GO:0003009~skeletal muscle contraction,GO:0006812~cation transport,GO:0007165~signal transduction,GO:0007268~chemical synaptic transmission,GO:0007271~synaptic transmission, cholinergic,GO:0007274~neuromuscular synaptic transmission,GO:0007528~neuromuscular junction development,GO:0019228~neuronal action potential,GO:0034220~ion transmembrane transport,GO:0042391~regulation of membrane potential,GO:0046716~muscle cell cellular homeostasis,GO:0048630~skeletal muscle tissue growth,GO:0050877~neurological system process,GO:0050881~musculoskeletal movement,GO:0050905~neuromuscular process,GO:0060079~excitatory postsynaptic potential,GO:0070050~neuron cellular homeostasis,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005892~acetylcholine-gated channel complex,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0031594~neuromuscular junction,GO:0043005~neuron projection,GO:0045202~synapse,GO:0045211~postsynaptic membrane,GO:0099060~integral component of postsynaptic specialization membrane,GO:0099634~postsynaptic specialization membrane,	GO:0004888~transmembrane signaling receptor activity,GO:0005216~ion channel activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0005231~excitatory extracellular ligand-gated ion channel activity,GO:0015464~acetylcholine receptor activity,GO:0022848~acetylcholine-gated cation-selective channel activity,GO:0030594~neurotransmitter receptor activity,GO:0042166~acetylcholine binding,GO:1904315~transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,	IPR002394:Nicotinic acetylcholine receptor,IPR006029:Neurotransmitter-gated ion-channel transmembrane domain,IPR006201:Neurotransmitter-gated ion-channel,IPR006202:Neurotransmitter-gated ion-channel ligand-binding,IPR018000:Neurotransmitter-gated ion-channel, conserved site,	hsa03265:Virion - Lyssavirus,hsa04080:Neuroactive ligand-receptor interaction,	253290~Multiple pterygium syndrome, lethal type,601462~Myasthenic syndrome, congenital, 1A, slow-channel,608930~Myasthenic syndrome, congenital, 1B, fast-channel,			KW-0406~Ion transport,KW-0813~Transport,	KW-0472~Membrane,KW-0628~Postsynaptic cell membrane,KW-0770~Synapse,KW-1003~Cell membrane,	KW-0225~Disease variant,KW-1004~Congenital myasthenic syndrome,	KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0407~Ion channel,KW-0675~Receptor,KW-1071~Ligand-gated ion channel,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DISULFID:Associated with receptor activation,DOMAIN:Neur_chan_LBD,DOMAIN:Neur_chan_memb,MUTAGEN:E->Q: Changed acetylcholine-gated cation-selective channel activity.,MUTAGEN:V->A: Increased length of channel opening.,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
CHRNA4	cholinergic receptor nicotinic alpha 4 subunit(CHRNA4)	Homo sapiens	GO:0001508~action potential,GO:0001666~response to hypoxia,GO:0006281~DNA repair,GO:0006811~ion transport,GO:0006816~calcium ion transport,GO:0006979~response to oxidative stress,GO:0007165~signal transduction,GO:0007268~chemical synaptic transmission,GO:0007271~synaptic transmission, cholinergic,GO:0014059~regulation of dopamine secretion,GO:0019233~sensory perception of pain,GO:0034220~ion transmembrane transport,GO:0035094~response to nicotine,GO:0035095~behavioral response to nicotine,GO:0042113~B cell activation,GO:0042391~regulation of membrane potential,GO:0050877~neurological system process,GO:0050890~cognition,GO:0051899~membrane depolarization,GO:0060079~excitatory postsynaptic potential,GO:0060080~inhibitory postsynaptic potential,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005892~acetylcholine-gated channel complex,GO:0009897~external side of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030425~dendrite,GO:0043005~neuron projection,GO:0043025~neuronal cell body,GO:0045202~synapse,GO:0045211~postsynaptic membrane,	GO:0004888~transmembrane signaling receptor activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0005231~excitatory extracellular ligand-gated ion channel activity,GO:0005515~protein binding,GO:0015276~ligand-gated ion channel activity,GO:0015464~acetylcholine receptor activity,GO:0022848~acetylcholine-gated cation-selective channel activity,GO:0030594~neurotransmitter receptor activity,GO:0042166~acetylcholine binding,GO:1904315~transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,	IPR002394:Nicotinic acetylcholine receptor,IPR006029:Neurotransmitter-gated ion-channel transmembrane domain,IPR006201:Neurotransmitter-gated ion-channel,IPR006202:Neurotransmitter-gated ion-channel ligand-binding,IPR018000:Neurotransmitter-gated ion-channel, conserved site,	hsa04080:Neuroactive ligand-receptor interaction,hsa04725:Cholinergic synapse,hsa05033:Nicotine addiction,hsa05207:Chemical carcinogenesis - receptor activation,	188890~Nicotine addiction, susceptibility to,600513~Epilepsy, nocturnal frontal lobe, 1,			KW-0406~Ion transport,KW-0813~Transport,	KW-0472~Membrane,KW-0628~Postsynaptic cell membrane,KW-0770~Synapse,KW-1003~Cell membrane,	KW-0225~Disease variant,KW-0887~Epilepsy,	KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0407~Ion channel,KW-0675~Receptor,KW-1071~Ligand-gated ion channel,	KW-0325~Glycoprotein,KW-0449~Lipoprotein,KW-0564~Palmitate,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DISULFID:Associated with receptor activation,DOMAIN:Neur_chan_LBD,DOMAIN:Neur_chan_memb,LIPID:S-palmitoyl cysteine,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
